lr,gamma,scores,avg_scores
0.001,0.99,86.32488919202825,-30.841330729610583
0.001,0.99,124.54771041190044,-29.72163053397761
0.001,0.99,45.177859701658186,-30.63099739861195
0.001,0.99,-19.70431207308215,-28.366987722086854
0.001,0.99,212.99542509828916,-26.807738868838637
0.001,0.99,-15.824426377715053,-28.15610990186536
0.001,0.99,-92.49971938777979,-30.140650452659237
0.001,0.99,245.36887458185538,-28.963947304336898
0.001,0.99,269.11611903948244,-24.38610026295074
0.001,0.99,-107.41858173455546,-23.367504053658603
0.001,0.99,188.91683591685825,-20.33507392087475
0.001,0.99,-180.47989701452326,-23.520754140959557
0.001,0.99,218.54905549063568,-22.678871159949882
0.001,0.99,153.43001812809496,-22.216729375141785
0.001,0.99,-307.9782453289554,-23.695344337776636
0.001,0.99,-170.50216584801586,-26.185970621058583
0.001,0.99,-72.25993997105441,-28.502589147555877
0.001,0.99,230.7712810249719,-27.35902626914609
0.001,0.99,24.574837064583775,-26.97520737784461
0.001,0.99,100.690903257137,-27.459155234859967
0.001,0.99,-315.70912031180313,-27.89869265558614
0.001,0.99,209.57074043113818,-25.75570760795781
0.001,0.99,-177.97693774365166,-26.63304679818305
0.001,0.99,-88.62430899132225,-26.630176971742394
0.001,0.99,-123.87966249439978,-25.886423533327726
0.001,0.99,104.61805196270241,-27.104606671431902
0.001,0.99,151.42622880134675,-23.133038791035172
0.001,0.99,-164.11551308738993,-24.991170851886977
0.001,0.99,205.4829189118597,-20.549273190027957
0.001,0.99,-403.0800083457114,-25.70287247433033
0.001,0.99,172.82231760320542,-23.625929638068747
0.001,0.99,228.83654058678957,-22.68602643855999
0.001,0.99,-24.260997195538437,-23.14848475497328
